"gbifid","species","decimallatitude","decimallongitude","taxonkey"
1098627330,"Pan troglodytes",-0.588,29.8499,"5219534"
1098627331,"Pan troglodytes",-0.388,30.0746,"5219534"
1098627332,"Pan troglodytes",-0.4859,29.8499,"5219534"
1098627333,"Pan troglodytes",-0.4858,29.8496,"5219534"
1098627334,"Pan troglodytes",-0.5686,29.8499,"5219534"
1098627335,"Pan troglodytes",-0.3667,30.1012,"5219534"
1098627336,"Pan troglodytes",-0.3546,30.2153,"5219534"
1098627337,"Pan troglodytes",-0.1507,30.267,"5219534"
1098627338,"Pan troglodytes",-0.3769,30.0749,"5219534"
1098627339,"Pan troglodytes",-0.3546,30.2153,"5219534"
1098627340,"Pan troglodytes",-0.3698,30.0975,"5219534"
1098627341,"Pan troglodytes",-0.3714,30.1041,"5219534"
1098627342,"Pan troglodytes",-0.5884,29.8499,"5219534"
1098627343,"Pan troglodytes",-0.3651,30.1007,"5219534"
1098627344,"Pan troglodytes",-0.3769,30.0749,"5219534"
1098627345,"Pan troglodytes",-0.3651,30.1007,"5219534"
1098627346,"Pan troglodytes",-0.388,30.0746,"5219534"
1098627347,"Pan troglodytes",-0.4862,29.8498,"5219534"
1098627348,"Pan troglodytes",-0.3697,30.0983,"5219534"
1098627349,"Pan troglodytes",-0.5733,29.8496,"5219534"
1098627350,"Pan troglodytes",-0.3769,30.0749,"5219534"
1098627351,"Pan troglodytes",-0.388,30.0746,"5219534"
1098627352,"Pan troglodytes",-0.3883,29.8501,"5219534"
1098627353,"Pan troglodytes",-0.4859,29.8499,"5219534"
1098627354,"Pan troglodytes",-0.5884,29.8499,"5219534"
1098627355,"Pan troglodytes",-0.3895,29.85,"5219534"
1098627356,"Pan troglodytes",-0.4902,29.8724,"5219534"
1098627357,"Pan troglodytes",-0.4959,29.8723,"5219534"
1098627358,"Pan troglodytes",-0.5733,29.8496,"5219534"
1098627359,"Pan troglodytes",-0.4777,29.8726,"5219534"
1098627360,"Pan troglodytes",-0.388,30.0746,"5219534"
1098627361,"Pan troglodytes",-0.4866,29.8498,"5219534"
1098627362,"Pan troglodytes",-0.319,30.0517,"5219534"
1098627363,"Pan troglodytes",-0.5733,29.8496,"5219534"
1098627364,"Pan troglodytes",-0.3895,29.85,"5219534"
1098627365,"Pan troglodytes",-0.4862,29.8498,"5219534"
1098627366,"Pan troglodytes",-0.4858,29.8499,"5219534"
1098627367,"Pan troglodytes",-0.5747,29.8495,"5219534"
1098627368,"Pan troglodytes",-0.588,29.8499,"5219534"
1098627369,"Pan troglodytes",-0.4858,29.8499,"5219534"
1098627370,"Pan troglodytes",-0.3895,29.85,"5219534"
1098627371,"Pan troglodytes",-0.5686,29.8499,"5219534"
1098627372,"Pan troglodytes",-0.4965,29.8723,"5219534"
1098627373,"Pan troglodytes",-0.3815,29.8501,"5219534"
1098627374,"Pan troglodytes",-0.5747,29.8495,"5219534"
1098627375,"Pan troglodytes",-0.4859,29.8499,"5219534"
1098627376,"Pan troglodytes",-0.4866,29.8498,"5219534"
1098627377,"Pan troglodytes",-0.4356,29.9622,"5219534"
1098627378,"Pan troglodytes",-0.4902,29.8724,"5219534"
1098627379,"Pan troglodytes",-0.3889,29.8499,"5219534"
1098627380,"Pan troglodytes",-0.4929,29.9174,"5219534"
1098627381,"Pan troglodytes",-0.4127,29.9846,"5219534"
1098627382,"Pan troglodytes",-0.2918,29.9847,"5219534"
1098627383,"Pan troglodytes",-0.3889,29.8499,"5219534"
1098627384,"Pan troglodytes",-0.4866,29.8499,"5219534"
1098627385,"Pan troglodytes",-0.3429,29.9622,"5219534"
1098627386,"Pan troglodytes",-0.4998,29.8724,"5219534"
1098627387,"Pan troglodytes",-0.4859,29.8499,"5219534"
1098627388,"Pan troglodytes",-0.3883,29.8501,"5219534"
1098627389,"Pan troglodytes",-0.4998,29.8724,"5219534"
1098627390,"Pan troglodytes",-0.4929,29.9174,"5219534"
1098627391,"Pan troglodytes",-0.4401,29.8724,"5219534"
1098627392,"Pan troglodytes",-0.4902,29.8724,"5219534"
1098627393,"Pan troglodytes",-0.4788,29.8726,"5219534"
1098627394,"Pan troglodytes",-0.3889,29.8499,"5219534"
1098627395,"Pan troglodytes",-0.3895,29.85,"5219534"
1098627396,"Pan troglodytes",-0.4902,29.8724,"5219534"
1098627397,"Pan troglodytes",-0.4376,29.9622,"5219534"
1098627398,"Pan troglodytes",-0.4127,29.9846,"5219534"
1098627399,"Pan troglodytes",-0.3883,29.8501,"5219534"
1098627400,"Pan troglodytes",-0.4902,29.8724,"5219534"
1098627401,"Pan troglodytes",-0.5688,29.8939,"5219534"
1098627402,"Pan troglodytes",-0.3206,30.0294,"5219534"
1098627403,"Pan troglodytes",-0.4248,30.03,"5219534"
1098627404,"Pan troglodytes",-0.3429,29.9623,"5219534"
1098627405,"Pan troglodytes",-0.4127,29.9846,"5219534"
1098627406,"Pan troglodytes",-0.3568,30.0294,"5219534"
1098627407,"Pan troglodytes",-0.3229,30.0293,"5219534"
1098627408,"Pan troglodytes",-0.4356,29.9622,"5219534"
1098627409,"Pan troglodytes",-0.3206,30.0294,"5219534"
1098627410,"Pan troglodytes",-0.4965,29.8723,"5219534"
1098627411,"Pan troglodytes",-0.4965,29.8723,"5219534"
1098627412,"Pan troglodytes",-0.3125,30.0294,"5219534"
1098627413,"Pan troglodytes",-0.4248,30.03,"5219534"
1098627414,"Pan troglodytes",-0.3206,30.0294,"5219534"
1098627415,"Pan troglodytes",-0.4356,29.9622,"5219534"
1098627416,"Pan troglodytes",-0.4248,30.03,"5219534"
1098627417,"Pan troglodytes",-0.3737,29.9841,"5219534"
1098627418,"Pan troglodytes",-0.3895,29.9847,"5219534"
1098627419,"Pan troglodytes",-0.316,29.9845,"5219534"
1098627420,"Pan troglodytes",-0.4356,29.9622,"5219534"
1098627421,"Pan troglodytes",-0.3206,30.0294,"5219534"
1098627422,"Pan troglodytes",-0.4418,29.9624,"5219534"
1098627423,"Pan troglodytes",-0.3388,29.9624,"5219534"
1098627424,"Pan troglodytes",-0.4127,29.9846,"5219534"
1098627425,"Pan troglodytes",-0.3627,30.029,"5219534"
1098627426,"Pan troglodytes",-0.3738,30.0293,"5219534"
1098627427,"Pan troglodytes",-0.3568,30.0294,"5219534"
1098627428,"Pan troglodytes",-0.3213,30.0291,"5219534"
1098627429,"Pan troglodytes",-0.3212,30.0293,"5219534"
1098627430,"Pan troglodytes",-0.3738,30.0293,"5219534"
1098627431,"Pan troglodytes",-0.3738,30.0293,"5219534"
